page,id_in_page,details_page_url,agency_or_not,website
5,45,https://www.sortlist.com/agency/codana,1,https://codana.eu
5,46,https://www.sortlist.com/agency/upstack-studio,1,https://upstackstudio.com/?utm_source=sortlist.com&amp;utm_medium=referral&amp;utm_campaign=directory
5,47,https://www.sortlist.com/agency/rubyroid-labs,1,https://rubyroidlabs.com
5,48,https://www.sortlist.com/agency/enozom,1,https://www.enozom.com
5,49,https://www.sortlist.com/agency/biz4solutions-llc,1,https://www.biz4solutions.com/
5,50,https://www.sortlist.com/agency/popart-studio,1,https://www.popwebdesign.net/index_eng.html
6,1,https://www.sortlist.com/agency/interfacewerk-gmbh,1,https://www.interfacewerk.de
6,2,https://www.sortlist.com/agency/scaleup-consulting-australia,1,https://scaleupconsulting.com.au
6,3,https://www.sortlist.com/agency/edex-business-solutions,1,http://www.edex.co
6,4,https://www.sortlist.com/agency/clueapps,1,https://clue-apps.com/
6,5,https://www.sortlist.com/agency/softuvo-solutions-pvt-ltd,1,https://www.softuvo.com/
6,6,https://www.sortlist.com/agency/terasol-technologies,1,https://www.terasoltechnologies.com/
6,7,https://www.sortlist.com/agency/celadon,1,https://celadonsoft.com/
6,8,https://www.sortlist.com/agency/estudio-alfa,1,https://estudioalfa.com/
6,9,https://www.sortlist.com/agency/overscan,1,http://www.overscan.com
6,10,https://www.sortlist.com/agency/genuineq,1,http://genuineq.com/
6,11,https://www.sortlist.com/agency/361-grad,1,https://361.de
6,12,https://www.sortlist.com/agency/bytecode,1,http://bytecode.nl/
6,13,https://www.sortlist.com/agency/mediatic-2,1,https://mediatic.ro
6,14,https://www.sortlist.com/agency/idea-design-group,1,https://ideadesigngroup.ge/
6,15,https://www.sortlist.com/agency/alter-digital-solutions,1,https://alterdigitalsolutions.com/
6,16,https://www.sortlist.com/agency/cloud-creators,1,https://cloud-creators.de/
6,17,https://www.sortlist.com/agency/complete-chain-tech,1,https://www.completechaintech.com/
6,18,https://www.sortlist.com/agency/lameco,1,https://www.lameco.nl
6,19,https://www.sortlist.com/agency/blackcard,1,https://blackcard.dev
6,20,https://www.sortlist.com/agency/vnited,1,https://vnited.co
6,21,https://www.sortlist.com/agency/muse-case-gmbh,1,https://www.muse-case.com
6,22,https://www.sortlist.com/agency/brl-consulting,1,https://brlconsulting.eu
6,23,https://www.sortlist.com/agency/7code,1,https://7code.software/
6,24,https://www.sortlist.com/agency/flexi-apps,1,https://flexiapps.net/
6,25,https://www.sortlist.com/agency/tedmob,1,http://www.tedmob.com
6,26,https://www.sortlist.com/agency/techgrains-technologies,1,https://www.techgrains.com
6,27,https://www.sortlist.com/agency/itss,1,https://www.itss.paris
6,28,https://www.sortlist.com/agency/sokeo,1,https://sokeo.fr
6,29,https://www.sortlist.com/agency/artkai,1,https://artk.ai
6,30,https://www.sortlist.com/agency/speed-tech,1,https://web.speedtech.me
6,31,https://www.sortlist.com/agency/mayasquad,1,https://www.mayasquad.com/
6,32,https://www.sortlist.com/agency/openbyte,1,https://openbyte.dev/
6,33,https://www.sortlist.com/agency/keole-net,1,https://www.keole.net
6,34,https://www.sortlist.com/agency/sparkle-2,1,https://www.sparkle.tech
6,35,https://www.sortlist.com/agency/salamander,1,https://salamander.be/
6,36,https://www.sortlist.com/agency/duty-labs,1,https://dutylabs.ro
6,37,https://www.sortlist.com/agency/attract-group,1,https://attractgroup.com/
6,38,https://www.sortlist.com/agency/hyliacom-comunicacion-creativa,1,https://hyliacom.es
6,39,https://www.sortlist.com/agency/sb-technologies,1,https://sbtechnologies.fr/
6,40,https://www.sortlist.com/agency/adqueria-marketing,1,http://www.adqueria.com
